ID,Codigo Equipo,Correlativo Equipo ,Fecha de Mantenimiento,Descripcion de actividad,Preventivo,Taller Externo,Costo ,OT,Modified,CodigoYCorr,Fecha Programado,Ejecutado,Actividades programadas,Created,Compliance Asset Id,Item Type,Path
1,PTAR1.AA.AE,1.0,2023-09-23 00:00:00,"Mantenimiento correctivo por temperatura 
",No,Si,,,2025-02-25 11:53:21,PTAR1.AA.AE.1,,,,2024-09-03 13:14:48,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
17,PTAR1.AA.AE,2.0,2022-11-15 00:00:00,"Temperatura normal al 5 Sep de 2024
Pogramar pronto",No,SIMD,,,2025-02-26 11:57:50,PTAR1.AA.AE.2,,,,2024-09-05 11:33:49,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
18,PTAR1.AA.AE,3.0,2022-07-07 00:00:00,"Correctivo, Temperatura 84 y punta 77 programar pronto",No,Si,,,2024-09-05 11:34:38,PTAR1.AA.AE.3,,,,2024-09-05 11:34:38,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
19,PTAR1.AA.AE,4.0,2023-09-19 00:00:00,Temperatura normal programar pronto,No,Si,,,2024-09-05 11:35:20,PTAR1.AA.AE.4,,,,2024-09-05 11:35:20,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
20,PTAR1.AA.AE,5.0,2022-07-07 00:00:00,Temperatura noraml caja a 78C Sep 2024,No,Si,,,2024-09-05 11:36:07,PTAR1.AA.AE.5,,,,2024-09-05 11:36:07,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
21,PTAR1.AA.AE,6.0,2024-07-02 00:00:00,"Mantenimiento preventivo de aerador  6. incluye  motor, caja reductora ",Si,SIMD,6995.0,,2025-06-04 08:26:38,PTAR1.AA.AE.6,,,,2024-09-05 11:36:54,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
22,PTAR1.AA.AE,7.0,2023-05-09 00:00:00,"Caliente programar pronto temperatura de 90C en punta y 85C en Motor
Agosto 2024",No,Si,,,2024-09-05 12:18:20,PTAR1.AA.AE.7,,,,2024-09-05 11:38:07,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
23,PTAR1.AA.AE,8.0,2023-07-26 00:00:00,TEmperatura normal sep 2024,No,Si,,,2024-09-05 11:39:06,PTAR1.AA.AE.8,,,,2024-09-05 11:39:06,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
24,PTAR1.DOC.CLR,1.0,2022-12-25 00:00:00,"Repello y nivelacion de pista, cambio de baleros en y rodos, revision de ambas cajas reductoras",Si,No,22500.0,,2024-09-06 13:10:26,PTAR1.DOC.CLR.1,,,,2024-09-06 13:09:55,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
25,PTAR2.DOC.CLR,1.0,2021-12-29 00:00:00,"SIMD 
Mantener en observacion Tornillo por evidente desgaste de corona, se hizo junto con el espezador de lodos",Si,SIMD,24200.0,,2025-06-09 12:13:14,PTAR2.DOC.CLR.1,,,,2024-09-06 13:27:14,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
26,SB.46kV.TX,1.0,2024-05-08 00:00:00,"Se hizo solo muestreo en busca de furanos o humedad y el resultado fue ""Fuera de peligro"" SOLELECTRIC",Si,Si,500.0,,2025-05-30 08:07:35,SB.46kV.TX.1,,,,2024-09-06 14:13:30,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
27,SB.46kV.TX,1.0,2023-12-19 00:00:00,"Se hizo analisis de gases y pruebas electricas, a mantener en observacion y repetir pruebas de gases debido a probable alta humedad",Si,Si,3400.0,,2024-09-06 14:18:38,SB.46kV.TX.1,,,,2024-09-06 14:18:38,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
28,SB.46kV.INT,1.0,2023-12-20 00:00:00,Cambio de Gas SF6 debido a baja pureza,No,Si,10531.0,,2024-09-06 14:26:31,SB.46kV.INT.1,,,,2024-09-06 14:26:29,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
29,SB.46kV.TC,1.0,2023-12-20 00:00:00,"TCs bien sin embargo los 3 presentan arcoelectrico, se deben cambiar en menos de 24 meses. ",Si,Si,600.0,,2024-09-06 14:42:02,SB.46kV.TC.1,,,,2024-09-06 14:34:46,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
30,SB.46kV.TC,2.0,2023-12-20 00:00:00,"TCs bien sin embargo los 3 presentan arcoelectrico, se deben cambiar en menos de 24 meses. ",Si,Si,600.0,,2024-09-06 14:42:01,SB.46kV.TC.2,,,,2024-09-06 14:36:13,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
